S_no,Gender,Degree,Specialization,CGPA,marks_12,Company_Placed,Package,Speaking,Extra_Curricular,Internship_Experience,Python,Java,C,CPP,DBMS,OOPS,Data_Structures,SQL,Operating_Systems,Data_Communication_and_Computer_Networks,Machine_Learning,Deep_Learning,Mobile_App_Development,Web_App_Development
59,Male,B.E/B.Tech,CSE,7.61,79.2,Mindtree,4,4,2,No,5,2,4,0,3,4,2,3,4,2,4,2,0,2
60,Male,B.E/B.Tech,CSE,7.86,98,PwC Acceleration Center,6,6,4,No,5,2,5,0,5,6,4,4,3,2,5,2,1,2
61,Male,B.E/B.Tech,CSE,7.2,98.7,TCS,3.6,1,2,No,4,3,2,1,3,3,2,3,2,1,3,4,5,3
62,Female,B.E/B.Tech,CSE,7.45,97,Mindtree,4,2,2,No,3,2,2,3,2,1,5,3,2,1,1,2,3,3
63,Male,B.E/B.Tech,CSE,7.1,90.4,TCS,3.6,3,2,No,4,2,3,5,4,2,3,2,1,1,1,2,3,4
64,Female,B.E/B.Tech,CSE,7.3,94,TCS,3.6,3,1,No,3,4,2,3,2,3,3,2,4,2,3,0,2,3
65,Male,B.E/B.Tech,CSE,7.6,97,Mindtree,4,4,2,No,2,3,6,2,3,4,5,3,2,2,4,1,1,1
66,Female,B.E/B.Tech,CSE,7.56,96,TCS,3.6,2,3,No,2,3,5,2,4,3,5,2,3,3,4,2,2,2
67,Male,B.E/B.Tech,CSE,7.22,97.6,TCS,3.6,4,3,Yes,5,3,4,3,4,3,2,5,4,3,2,0,1,2
68,Female,B.E/B.Tech,CSE,7,97,Mindtree,4,3,3,No,4,2,4,4,2,2,4,3,5,2,1,0,2,3
69,Male,B.E/B.Tech,CSE,7.01,97.7,TCS,3.6,3,2,No,4,2,4,2,1,3,4,5,4,2,3,0,2,3
70,Female,B.E/B.Tech,CSE,7.08,95.7,TCS,3.6,4,3,No,2,2,3,2,1,2,3,4,2,3,4,2,3,2
71,Male,B.E/B.Tech,CSE,7.65,97,Mindtree,4,3,2,No,5,3,6,2,1,0,2,0,1,1,3,3,5,2
72,Male,B.E/B.Tech,CSE,7.66,96.7,TCS,3.6,5,4,Yes,5,0,4,0,2,3,2,4,2,3,4,3,2,1
73,Female,B.E/B.Tech,CSE,7.98,91.9,Mindtree,4,3,4,No,3,2,3,4,2,3,4,1,3,2,3,4,3,2
74,Female,B.E/B.Tech,CSE,6.8,98.7,TCS,3.6,4,2,No,3,0,4,2,1,3,5,4,3,1,3,2,3,0
75,Male,B.E/B.Tech,CSE,6.9,94.4,Mindtree,4,3,3,No,3,3,5,2,2,3,3,4,2,3,4,2,3,0
76,Female,B.E/B.Tech,CSE,6.98,97.8,Mindtree,4,6,2,Yes,3,3,3,1,3,3,2,3,2,1,2,4,3,4
77,Male,B.E/B.Tech,CSE,6.65,97.9,Mindtree,4,5,3,No,3,1,2,3,1,2,3,4,3,2,1,3,1,2
78,Female,B.E/B.Tech,CSE,7.12,98,TCS,3.6,3,2,No,3,2,4,1,2,5,1,2,3,1,3,2,3,2
79,Female,B.E/B.Tech,CSE,7.45,96.4,PwC Acceleration Center,6,6,4,No,4,2,5,4,2,3,4,6,2,5,6,2,3,3
80,Female,B.E/B.Tech,CSE,7.35,96.7,PwC Acceleration Center,6,5,4,Yes,6,2,5,5,3,2,4,2,3,2,4,3,3,2
81,Male,B.E/B.Tech,CSE,7.35,98.9,Cognizant GenC,5,4,4,No,4,2,4,4,5,4,3,2,3,2,3,4,5,5
82,Male,B.E/B.Tech,CSE,7.56,96.3,Cognizant GenC,5,5,6,No,5,4,5,6,7,2,2,3,4,6,6,5,5,3
83,Male,B.E/B.Tech,CSE,7.8,96.7,Cognizant GenC,5,7,4,Yes,3,2,5,4,6,8,5,3,2,1,4,3,2,4
84,Male,B.E/B.Tech,CSE,7.89,97.5,PwC Acceleration Center,6,8,7,No,5,2,5,4,3,3,4,6,4,2,4,2,2,2
85,Female,B.E/B.Tech,CSE,7.9,97.6,Advance Auto Parts,9,8,7,Yes,6,5,7,3,3,5,5,6,7,3,2,0,7,6
86,Female,B.E/B.Tech,CSE,8.01,95.7,Care Allianz,11,7,5,Yes,7,3,7,5,4,3,6,7,5,3,5,5,5,7
87,Female,B.E/B.Tech,CSE,8.2,96,Advance Auto Parts,9,8,4,No,8,5,8,6,5,6,2,7,4,5,8,6,9,5
